ءی	1.0	i
آ 1.0	A 
مبارکباد 1.0	m U b A r y k b A dd 
مبتلا 1.0	m U b td y l A 
مبرا 1.0	m U b y r r A 
مبصرین 1.0	m U b y s s i r i n 
مبنی 1.0	m y b n i 
متاثر 1.0	m U td A s i r 
متاثره 1.0	m U td A s i r A 
متاثرین 1.0	m U td A s i r i n 
متاع 1.0	m y td A 
متبادل 1.0	m U td b A dd i l 
متحده 1.0	m U td td y h i dd A 
متصل 1.0	m U td td y s i l 
متعارف 1.0	m U td y y r i f 
متعدد 1.0	m U td y y dd dd i dd 
متعلق 1.0	m U td y y l l y q 
متعلقه 1.0	m U td y l i q A 
متفق 1.0	m U td td y f i q 
متنازع 1.0	m U td y n A z e 
متناهی 1.0	m U td y n A h i 
متواتر 1.0	m U td y v A td i r 
متوقع 1.0	m U td y v y q q e 
مثالیں 1.0	m i s A l e~ 
مثبت 1.0	m U s b y td 
مثلا 1.0	m y s l y n 
مثلا 1.0	m y s y l y n 
مجبور 1.0	m y dZ b u r 
مجرم 1.0	m U dZ r i m 
مجروح 1.0	m y dZ r u 
مجموعی 1.0	m y dZ m u i 
مجھے 1.0	m U dZh e 
مجید 1.0	m y dZ i dd 
محاصرے 1.0	m U h A s y r e 
محال 1.0	m U h A l 
محبت 1.0	m U h y b b y td 
محدود 1.0	m y h dd u dd 
محروم 1.0	m y h r u m 
محسوس 1.0	m y h s u s 
محصور 1.0	m y h s u r 
محض 1.0	m y h z 
محظوظ 1.0	m y h z u z 
محفوظ 1.0	m y h f u z 
محلے 1.0	m U h y l l e 
محمد 1.0	m U h y m m y dd 
محنت 1.0	m i h n y td 
محنتی 1.0	m i h n y td i 
محو 1.0	m y h v 
محکمه 1.0	m y h k y m A 
محکمے 1.0	m y h k y m e 
مخالف 1.0	m U x A l i f 
مخالفت 1.0	m U x A l f y td 
مختصر 1.0	m U x td y s y r 
مختلف 1.0	m U x td l i f 
مختلف 1.0	m U x td y l i f 
مخصوص 1.0	m y x s u s 
مد 1.0	m U dd 
مداحوں 1.0	m y dd dd A h o~ 
مدد 1.0	m y dd y dd 
مدرسه 1.0	m y dd r i s A 
مدرسوں 1.0	m y dd r i s o~ 
مدرسے 1.0	m y dd r i s e 
مدعا 1.0	m U dd dd y A 
مدعو 1.0	m y dd u 
مدنظر 1.0	m y dd dd e n y z y r 
مدیحه 1.0	m y dd i h A 
مذاق 1.0	m y z A q 
مذاکرات 1.0	m U z A k y r A td 
مذهبی 1.0	m y z h y b i 
مذکوره 1.0	m y z k u r A 
مر 1.0	m y r 
مراد 1.0	m U r A dd 
مراسم 1.0	m y r A s i m 
مراعات 1.0	m U r A A td 
مراکز 1.0	m y r A k i z 
مرتبه 1.0	m y r td y b A 
مرحلے 1.0	m y r h y l e 
مرحوم 1.0	m y r h u m 
مرد 1.0	m y r dd 
مردوں 1.0	m U r dd o~ 
مرض 1.0	m y r y z 
مرغوب 1.0	m y r 7 u b 
مرمت 1.0	m y r y m m y td 
مرنے 1.0	m y r n e 
مرهون 1.0	m y r h u n 
مرچ 1.0	m i r tS 
مرکب 1.0	m U r y k k y b 
مرکبات 1.0	m U r y k k y b A td 
مرکز 1.0	m y r k y z 
مرکزی 1.0	m y r k y z i 
مریخ 1.0	m i r r i x 
مریضه 1.0	m y r i z A 
مز 1.0	m i z 
مزاج 1.0	m i z A dZ 
مزار 1.0	m y z A r 
مزدور 1.0	m y z dd u r 
مزید 1.0	m y z i dd 
مزیدار 1.0	m y z e dd A r 
مزین 1.0	m U z Y j y n 
مزے 1.0	m y z e 
مس 1.0	m i s 
مسءله 1.0	m y s y l A 
مسءلے 1.0	m y s y l e 
مساءل 1.0	m y s A i l 
مسافر 1.0	m U s A f i r 
مسالے 1.0	m y s A l e 
مساوی 1.0	m U s A v i 
مستحق 1.0	m U s td y h i q 
مستزاد 1.0	m U s td y z A dd 
مستعفی 1.0	m U s td y f i 
مستفید 1.0	m U s td y f i dd 
مستقبل 1.0	m U s td y q b i l 
مستقل 1.0	m U s td y q i l 
مسجد 1.0	m y s dZ i dd 
مسجدوں 1.0	m y s dZ i dd o~ 
مسجدوں 1.0	m y s z i dd o~ 
مسز 1.0	m i s i z 
مسلح 1.0	m U s y l l A 
مسلسل 1.0	m U s y l s y l 
مسلط 1.0	m U s y l l i td 
مسلم 1.0	m U s l i m 
مسلکی 1.0	m y s l y k i 
مسوری 1.0	m y s u r i 
مسکراتا 1.0	m U s k U r A td A 
مسکرایا 1.0	m U s k U r A j A 
مسیح 1.0	m y s i 
مشاهده 1.0	m U S A h i dd A 
مشترکه 1.0	m U S td y r y k A 
مشتعل 1.0	m U S td y i l 
مشتمل 1.0	m U S td y m i l 
مشرق 1.0	m y S r i q 
مشرقی 1.0	m y S r i q i 
مشرقی 1.0	m y S r y q i 
مشرقی 1.0	m y S y r q i 
مشغول 1.0	m y S 7 u l 
مشن 1.0	m i S y n 
مشهور 1.0	m y S h u r 
مشوره 1.0	m y S v y r A 
مشکل 1.0	m U S k i l 
مشکلات 1.0	m U S k i l A td 
مشکلیں 1.0	m U S k i l e~ 
مشیر 1.0	m U S i r 
مشیروں 1.0	m U S i r o~ 
مشین 1.0	m U S y j y n 
مصالحوں 1.0	m U s A l y h o~ 
مصالحے 1.0	m y s A l y h e 
مصروف 1.0	m y s r u f 
مصطفی 1.0	m U s td y f A 
مصنوعات 1.0	m y s n u A td 
مصیبت 1.0	m U s i b y td 
مضامین 1.0	m y z A m i n 
مضبوط 1.0	m y z b u td 
مضبوطی 1.0	m y z b u td i 
مضر 1.0	m U z i r 
مضمون 1.0	m y z m u n 
مطابق 1.0	m U td A b i q 
مطالبه 1.0	m U td A l b A 
مطالبے 1.0	m U td A l b e 
مطالعے 1.0	m U td A l y e 
مطلب 1.0	m U td l i b 
مطلوبه 1.0	m y td l u b A 
مظاهره 1.0	m U z A h e r A 
مظاهروں 1.0	m U z A h y r o~ 
مظاهرین 1.0	m U z A h i r i n 
مظفر 1.0	m U z y f f y r 
معاءنه 1.0	m U A i n A 
معاشرتی 1.0	m U A S y r y td i 
معاشره 1.0	m U A S y r A 
معاشرے 1.0	m U A S y r e 
معافی 1.0	m U A f i 
معاملات 1.0	m U A m y l A td 
معامله 1.0	m U A m l A 
معاملے 1.0	m U A m y l e 
معاهده 1.0	m U A h y dd A 
معاهدے 1.0	m U A h y dd e 
معاون 1.0	m U A v i n 
معترف 1.0	m U td y r i f 
معذور 1.0	m y z u r 
معرض 1.0	m y r i z 
معروف 1.0	m y y r u f 
معطل 1.0	m U y td td y l 
معلوم 1.0	m y y l u m 
معلومات 1.0	m y y l u m A td 
معلوماتی 1.0	m y y l u m A td i 
معمه 1.0	m U y m m A 
معمول 1.0	m A m u l 
معمول 1.0	m y y m u l 
معمولی 1.0	m y y m u l i 
معمے 1.0	m U y m m e 
معنوں 1.0	m y y n o~ 
معیار 1.0	m i j A r 
معین 1.0	m U i n 
مغرب 1.0	m y 7 r i b 
مغربی 1.0	m y 7 r i b i 
مغل 1.0	m U 7 y l 
مفاهیم 1.0	m y f A h i m 
مفت 1.0	m U f td 
مفتی 1.0	m U f td i 
مفرد 1.0	m U f r i dd 
مفروضوں 1.0	m y f r u z o~ 
مفلس 1.0	m U f l i s 
مفید 1.0	m U f i dd 
مقابله 1.0	m U q A b i l A 
مقابلے 1.0	m U q A b i l e 
مقاصد 1.0	m y q A s y dd 
مقام 1.0	m y q A m 
مقامات 1.0	m y q A m A td 
مقامی 1.0	m y q A m i 
مقبول 1.0	m y q b u l 
مقبولیت 1.0	m y q b u l i j y td 
مقدر 1.0	m U q y dd dd y r 
مقدمات 1.0	m U q y dd m A td 
مقدمه 1.0	m U q y dd m A 
مقرر 1.0	m U q y r r y r 
مقصد 1.0	m y q s y dd 
مقصود 1.0	m y q s u dd 
مقید 1.0	m U q i dd 
مقیم 1.0	m U q i m 
مل 1.0	m U l 
ملا 1.0	m U l l A 
ملاءکه 1.0	m y l A i k A 
ملاحظه 1.0	m U l A h y z A 
ملازمت 1.0	m U l A z y m y td 
ملازمتوں 1.0	m U l A z y m y td o~ 
ملازمین 1.0	m U l A z i m i n 
ملاقات 1.0	m U l A q A td 
ملاقاتیں 1.0	m U l A q A td e~ 
ملامت 1.0	m y l A m y td 
ملانا 1.0	m i l A n A 
ملانے 1.0	m i l A n e 
ملاپ 1.0	m i l A p 
ملبوسات 1.0	m y l b u s A td 
ملتا 1.0	m i l td A 
ملتی 1.0	m i l td i 
ملتے 1.0	m i l td e 
ملحد 1.0	m U l h i dd 
ملحق 1.0	m U l h y q 
ملنے 1.0	m i l n e 
ملک 1.0	m U l k 
ملک 1.0	m i l k 
ملک 1.0	m y l i k 
ملکه 1.0	m y l k A 
ملکوں 1.0	m U l k o~ 
ملکی 1.0	m U l k i 
ملی 1.0	m i l i 
ملیں 1.0	m i l i~ 
ملے 1.0	m i l e 
ممالک 1.0	m y m A l i k 
ممتاز 1.0	m U m td A z 
ممکن 1.0	m U m k i n 
ممکنه 1.0	m U m k i n A 
من 1.0	m y n 
مناسب 1.0	m y n A s i b 
مناظر 1.0	m y n A z i r 
منانے 1.0	m y n A n e 
منت 1.0	m y n n y td 
منتخب 1.0	m U n td y x i b 
منتظر 1.0	m U n td y z i r 
مند 1.0	m y n dd 
منسلک 1.0	m U n s y l i k 
منسوخ 1.0	m y n s u x 
منصوبه 1.0	m y n s u b A 
منصوبے 1.0	m y n s u b e 
منطق 1.0	m y n td i q 
منظر 1.0	m y n z y r 
منظور 1.0	m y n z u r 
منظوری 1.0	m y n z u r i 
منع 1.0	m y n A 
منعقد 1.0	m U n y q i dd 
منفرد 1.0	m U n f y r i dd 
منفی 1.0	m y n f i 
منقطع 1.0	m U n q y td e 
منه 1.0	m U n h 
منهاس 1.0	m i n h A s 
منوایا 1.0	m y n v A j A 
منٹ 1.0	m i n t' 
منٹوں 1.0	m i n t' o~ 
منڈا 1.0	m U n d' A 
منگل 1.0	m y N g y l 
منی 1.0	m U n n i 
مهاتما 1.0	m y h A td m A 
مهربانی 1.0	m i h r b A n i 
مهرباں 1.0	m i h r b A~ 
مهم 1.0	m U h i m 
مهمان 1.0	m i h m A n 
مهنگی 1.0	m y h N g i 
مهیا 1.0	m U h Y j A 
مهینے 1.0	m y h i n e 
مو 1.0	m u 
مواقع 1.0	m y v A q e 
موباءل 1.0	m o b A i l 
موت 1.0	m O td 
موجود 1.0	m O dZ u dd 
موجوده 1.0	m O dZ u dd A 
موجودگی 1.0	m O dZ u dd y g i 
موذن 1.0	m U y z z i n 
موزوں 1.0	m O z u~ 
موسم 1.0	m O s y m 
موسمی 1.0	m O s y m i 
موسمیات 1.0	m O s y m i j A td 
موسیقی 1.0	m O s i q i 
موصول 1.0	m O s u l 
موضوع 1.0	m O z u 
موقع 1.0	m O k A 
موقع 1.0	m O q A 
موقعے 1.0	m O k e 
موقعے 1.0	m O q y e 
موقف 1.0	m O q i f 
مولانا 1.0	m O l A n A 
مولوی 1.0	m O l v i 
موٹی 1.0	m o t' i 
مٹھاءی 1.0	m i t'h A i 
مچ 1.0	m y tS 
مچا 1.0	m U tS tS A 
مڑ 1.0	m U r' 
مکان 1.0	m y k A n 
مکانات 1.0	m y k A n A td 
مکانی 1.0	m y k A n i 
مکمل 1.0	m U k y m m y l 
مکمل 1.0	m U k y m y l 
مکی 1.0	m U k k i 
مگر 1.0	m y g y r 
میانمار 1.0	m i j A n m A r 
میاں 1.0	m i j A~ 
میجر 1.0	m e dZ y r 
میدان 1.0	m Y dd A n 
میدان 1.0	m Y dd A n e 
میر 1.0	m i r 
میرا 1.0	m i r A 
میراث 1.0	m i r A s 
میری 1.0	m i r i 
میرے 1.0	m e r e 
میزبانی 1.0	m e z b A n i 
میسر 1.0	m U j y s s y r 
میل 1.0	m e l 
میلنگ 1.0	m e l i N 
مین 1.0	m e n 
مینڈیٹ 1.0	m e n d' e t' 
مینیو 1.0	m Y n j u 
میوزک 1.0	m i j u z i k 
میٹر 1.0	m i t' y r 
میٹرز 1.0	m i t' y r z 
میچ 1.0	m i tS 
میڈیا 1.0	m i d' j A 
میک 1.0	m Y k 
میگھ 1.0	m e gh 
میں 1.0	m Y 
میں 1.0	m Y~ 
میں 1.0	m e 
میں 1.0	m e~ 
نءی 1.0	n y i 
نءے 1.0	n y Y 
نا 1.0	n A 
ناءب 1.0	n A i b 
ناءیک 1.0	n A i k 
نابینا 1.0	n A b i n A 
ناتجربه	1.0	n A td y dZ y r b A
ناجلدی	1.0	n A dZ y l dd i
ناز 1.0	n A z 
نازوں 1.0	n A z o~ 
ناسا 1.0	n A s A 
ناصر 1.0	n A s i r 
ناصرف 1.0	n A s i r f 
نافذ 1.0	n A f i z 
ناقص 1.0	n A q i s 
ناقصں	1.0	A~
نالاءق 1.0	n A l A i q 
نالج 1.0	n A l i dZ 
نام 1.0	n A m 
ناممکن 1.0	n A m U m k i n 
نامه 1.0	n A m A 
نانی 1.0	n A n i 
ناپسند 1.0	n A p y s y n dd 
ناپید 1.0	n A p Y dd 
ناکاره 1.0	n A k A r A 
ناکافی 1.0	n A k A f i 
ناکام 1.0	n A k A m 
ناکامی 1.0	n A k A m i 
نبرد 1.0	n y b y r dd 
نبی 1.0	n y b i 
نتاءج 1.0	n y td A i dZ 
نتیجه 1.0	n y td i dZ A 
نتیجے 1.0	n y td i dZ e 
نثار 1.0	n i s A r 
نجات 1.0	n i dZ A td 
نجکاری 1.0	n i dZ k A r i 
نجیب 1.0	n y dZ i b 
نحیف 1.0	n y h i f 
نخریلی 1.0	n y x r i l i 
نخواسته	1.0	n y x i s td A
ندارد 1.0	n y dd A r y dd 
ندیوں 1.0	n y dd i o~ 
نذر 1.0	n y z y r 
نذرانه 1.0	n y z r A n A 
نذیر 1.0	n y z i r 
نرسری 1.0	n y r s y r i 
نرم 1.0	n y r m 
نرمی 1.0	n y r m i 
نرگس 1.0	n y r g i s 
نری 1.0	n i r i 
نزدیک 1.0	n y z dd i k 
نسل 1.0	n y s l 
نشان 1.0	n i S A n 
نشانات 1.0	n i S A n A td 
نشاندهی 1.0	n i S A n dd i h i 
نشانه 1.0	n i S A n A 
نشتر 1.0	n i S td y r 
نشر 1.0	n y S r 
نشست 1.0	n i S i s td 
نصب 1.0	n y s b 
نصف 1.0	n i s f 
نصیب 1.0	n y s i b 
نصیبی 1.0	n y s i b i 
نطروں	1.0	n e td y r o~
نظام 1.0	n i z A m 
نظام 1.0	n i z A m e 
نظر 1.0	n y z y r 
نظرقصور	1.0	n y z y r q s u r
نظروں 1.0	n y z y r o~ 
نظریں 1.0	n y z y r e~ 
نظریے 1.0	n y z y r i j e 
نعت 1.0	n y y td 
نعرے 1.0	n y y r e 
نعیمه 1.0	n y i m A 
نفاذ 1.0	n y f A z 
نفس 1.0	n y f y s 
نقالی 1.0	n y q A l i 
نقشوں 1.0	n y q S o~ 
نقصان 1.0	n U q s A n 
نقطع	1.0	n q y td td e
نقطه 1.0	n U q td A 
نقطه 1.0	n U q td A e 
نقطے 1.0	n U q td e 
نقل 1.0	n y q l 
نل 1.0	n y l 
نما 1.0	n U m A 
نماءش 1.0	n U m A i S 
نماءندگی 1.0	n U m A i n dd y g i 
نماءندے 1.0	n U m A i n dd e 
نماز 1.0	n i m A z 
نماز 1.0	n y m A z 
نمایا 1.0	n y m A j A 
نمبر 1.0	n y m b y r 
نمٹنے 1.0	n i m y t' n e 
نمکین 1.0	n y m k i n 
نمی 1.0	n y m i 
ننانوے 1.0	n i n A n v e 
ننگ 1.0	n i N 
ننگا 1.0	n y N g A 
ننھے 1.0	n y nh nh e 
نه 1.0	n A 
نهایت 1.0	n i h A j y td 
نهتے 1.0	n y h y td td e 
نهروں 1.0	n y h r o~ 
نهیں 1.0	n i 
نهیں 1.0	n i~ 
نهیں 1.0	n y h i 
نهیں 1.0	n y h i~ 
نهیں 1.0	n y i 
نهیں 1.0	n y i~ 
نو 1.0	n O 
نواحی 1.0	n y v A h i 
نواز 1.0	n y v A z 
نوازا 1.0	n y v A z A 
نواله 1.0	n y v A l A 
نوجوان 1.0	n O dZ v A n 
نوجوان 1.0	n O dZ y v A n 
نوجوانوں 1.0	n O dZ y v A n o~ 
نوری 1.0	n u r i 
نوشهره	1.0	n o S y h r A
نوعیت 1.0	n O i j y td 
نوٹس 1.0	n o t' s 
نوٹنکی 1.0	n O t' y n k i 
نوٹیفیکیشن	1.0	n o t' i f Y k e S y n
نوں	1.0	n o~
نچلی 1.0	n i tS l i 
نکاح 1.0	n i k A 
نکال 1.0	n i k A l 
نکالتے 1.0	n i k A l td e 
نکالنے 1.0	n i k A l n e 
نکل 1.0	n i k y l 
نکلا 1.0	n i k l A 
نکلتا 1.0	n i k y l td A 
نکلتے 1.0	n i k y l td e 
نکلنا 1.0	n i k y l n A 
نکلنے 1.0	n i k y l n e 
نکلوا 1.0	n i k y l v A 
نکلے 1.0	n i k l e 
نکڑپر	1.0	n k y r' p y r
نکھارنے 1.0	n i kh A r n e 
نکیلا	1.0	n k e l A
نگاروں 1.0	n i g A r o~ 
نگرانی 1.0	n i g r A n i 
نگے	1.0	m y N g e
نیا 1.0	n y j A 
نیز 1.0	n i z 
نیزه 1.0	n e z A 
نیس 1.0	n Y s 
نیشنل 1.0	n Y S n y l 
نیلا 1.0	n i l A 
نیم 1.0	n i m 
نیند 1.0	n i n dd 
نیواڈا	1.0	n i v A d' A
نیوز 1.0	n i j u z 
نیٹ 1.0	n Y t' 
نیچی 1.0	n i tS i 
نیچے 1.0	n i tS e 
نیک 1.0	n e k 
نیکٹا	1.0	n i k t' A
نے 1.0	n Y 
نے 1.0	n e 
ه	1.0	m A
ها 1.0	h A 
هاءوس 1.0	h A u s 
هاءی 1.0	h A i 
هاتھ 1.0	h A tdh 
هاتھوں 1.0	h A tdh o~ 
هالینڈ 1.0	h A l Y n d' 
هانکتے	1.0	h A n k td e
هاکی 1.0	h A k i 
هاں 1.0	h A~ 
هتھیار 1.0	h y tdh j A r 
هتھیاروں 1.0	h y tdh j A r o~ 
هدایت 1.0	h i dd A j y td 
هر 1.0	h y r 
هراس	1.0	h y r A s
هرصورت	1.0	h y r s u r y td
هرکسی 1.0	h y r k i s i 
هرگز 1.0	h y r g i z 
هری 1.0	h y r i 
هرے 1.0	h y r e 
هزار 1.0	h y z A r 
هزاروں 1.0	h y z A r o~ 
هستی 1.0	h y s td i 
هسٹری 1.0	h i s t' y r i 
هسپتال 1.0	h y s p y td A l 
هسپتالو	1.0	h y s p y td A l o
هشیار 1.0	h U S j A r 
هفته 1.0	h y f td A 
هفتے 1.0	h y f td e 
هلال 1.0	h i l A l 
هلاک 1.0	h y l A k 
هلاکت 1.0	h y l A k y td 
هلکا	1.0	h i l k A
هلکی	1.0	h i l k i
هم 1.0	h y m 
همار 1.0	h y m A r 
همارا 1.0	h y m A r A 
هماری 1.0	h y m A r i 
همارے 1.0	h y m A r e 
همت 1.0	h i m m y td 
همدردی 1.0	h y m dd y r dd i 
همراه 1.0	h y m r A 
همیشه 1.0	h y m e S A 
همیں 1.0	h y m e~ 
هند 1.0	h i n dd 
هندوستان 1.0	h i n dd u s td A n 
هندوستانی 1.0	h i n dd u s td A n i 
هنر 1.0	h U n y r 
هنرمند 1.0	h U n y r m y n dd 
هنزه 1.0	h U n z A 
هنسی	1.0	h y n s i
هنوستان	1.0	h n v y s td A n
هنگامی 1.0	h y N g A m i 
هو 1.0	h o 
هو 1.0	h u 
هو 1.0	o 
هوء	1.0	h u
هوءی 1.0	h u i 
هوءیں 1.0	h u i~ 
هوءے 1.0	h u e 
هوا 1.0	h U A 
هوا 1.0	h y v A 
هواءوں 1.0	h y v A o~ 
هواءی 1.0	h y v A i 
هوتا 1.0	h o td A 
هوتا 1.0	o td A 
هوتاتھا	1.0	h o td A tdh A
هوتاهے	1.0	h o td A h e
هوتی 1.0	h o td i 
هوتی 1.0	o td i 
هوتے 1.0	h o td e 
هوتےکافر	1.0	h o td e k A f y r
هوجاءے 1.0	h o dZ A e 
هوجاتی 1.0	h o dZ A td i 
هوجاتے 1.0	h o dZ A td e 
هورها 1.0	h o r y h A 
هورهی	1.0	h o r y h i
هوس 1.0	h y v y s 
هوسکتا 1.0	h o s y k td A 
هوسکی	1.0	h o s k i
هوش 1.0	h o S 
هوشیار 1.0	h o S j A r 
هوم 1.0	h o m 
هونا 1.0	h o n A 
هونگے 1.0	h o N g e 
هونی 1.0	h o n i 
هونے 1.0	h o n e 
هونےوالے 1.0	h o n e v A l e 
هوٹل 1.0	h o t' y l 
هوٹلوں	1.0	h o~
هوچکے 1.0	h o tS U k e 
هوکه 1.0	h o k e 
هوکھیل	1.0	h o kh i l
هوگءی 1.0	h o g y i 
هوگءے 1.0	h o g y e 
هوگا 1.0	h o g A 
هوگی 1.0	h o g i 
هوگیا 1.0	h o g e A 
هوگیا 1.0	h o g y j A 
هوں 1.0	h o~ 
هوں 1.0	h u~ 
هوں 1.0	o~ 
هوں 1.0	u~ 
هوے 1.0	h u e 
هٹادیں	1.0	h y t' A dd i~
هڈیاں 1.0	h y d' d' i j A~ 
هڑتال 1.0	h y r' td A l 
هکا	1.0	h k A
هی 1.0	h i 
هیرا 1.0	h i r A 
هیری 1.0	h e r i 
هیلپ 1.0	h Y l p 
هیڈ 1.0	h Y d' 
هیڈکوارٹر 1.0	h Y d' k y v A r t' y r 
هیں 1.0	Y~ 
هیں 1.0	h Y~ 
هے 1.0	Y 
هے 1.0	h Y 
و 1.0	o 
و 1.0	v A o 
و 1.0	v y 
وا 1.0	v A 
واءبر	1.0	v A i b r
واءر 1.0	v A i r 
وابسته 1.0	v A b y s td A 
واجبی 1.0	v A dZ i b i 
واحد 1.0	v A h i dd 
وادء	1.0	v A dd
وادی 1.0	v A dd i 
وارد 1.0	v A r i dd 
واسطه 1.0	v A s i td A 
واضح 1.0	v A z e 
واقع 1.0	v A q e 
واقعات 1.0	v A q i A td 
واقعه 1.0	v A q i A 
واقعے 1.0	v A q i e 
واقف 1.0	v A q i f 
واقفی	1.0	v A q y f i
وال 1.0	v A l 
والا 1.0	v A l A 
والد 1.0	v A l i dd 
والدین 1.0	v A l i dd Y n 
والوں 1.0	v A l o~ 
والی 1.0	v A l i 
والے 1.0	v A l e 
وانصاف	1.0	v A n y s A f
وانی 1.0	v A n i 
واهگه 1.0	v A h g A 
واٹ 1.0	v A t' 
واٹس 1.0	v A t' s 
واپس 1.0	v A p i s 
وباءی 1.0	v y b A i 
وبیش	1.0	m u b e S
وتعالی	1.0	v y td A l i
وثوق 1.0	v U s u q 
وجه 1.0	v y dZ A 
وجه 1.0	v y dZ h 
وجود 1.0	v U dZ u dd 
وجودهےاس	1.0	v y dZ u dd y h e i s
وجودهےایک	1.0	v y dZ u dd y h e Y k
وحیا	1.0	v y h j A
ودیعت 1.0	v y dd i y td 
ور 1.0	v y r 
وراثت 1.0	v i r A s y td 
ورثه 1.0	v i r s A 
ورثے 1.0	v y r s e 
ورزش 1.0	v y r z i S 
ورزی 1.0	v y r z i 
ورزیاں	1.0	v y r z i j A~
ورزیوں 1.0	v y r z i o~ 
ورنه 1.0	v y r n A 
ورک 1.0	v i r y k 
ورکس 1.0	v y r k s 
وزارت 1.0	v i z A r y td 
وزرا 1.0	v U z y r A 
وزن 1.0	v y z n 
وزنی 1.0	v y z n i 
وزیر 1.0	v y z i r 
وزیراعظم 1.0	v y z i r e y y z y m 
وزیراعلی 1.0	v y z i r e y y l A 
وزیرخزانه 1.0	v y z i r e x y z A n A 
وزیروں 1.0	v y z i r o~ 
وسط 1.0	v y s td 
وسطی 1.0	v U s td A 
وسلم 1.0	v y s y l l y m 
وسیع 1.0	v y s i 
وسیم 1.0	v y s i m 
وصول 1.0	v U s u l 
وصیت 1.0	v y s i j y td 
وضاحت 1.0	v y z A h y td 
وضع 1.0	v y z y 
وطن 1.0	v y td y n 
وظیفه 1.0	v y z i f A 
وعده 1.0	v y y dd A 
وعدے 1.0	v y dd e 
وغیره 1.0	v y 7 Y r A 
وفات 1.0	v y f A td 
وفاداری 1.0	v y f A dd A r i 
وفاقی 1.0	v i f A q i 
وقاریونس 1.0	v y q A r j u n y s 
وقت 1.0	v y q td 
وقت 1.0	v y q y td 
وقتا	1.0	v y q td A
وقتی 1.0	v y q td i 
وقف 1.0	v y q f 
وقوف 1.0	v U q u f 
ولید 1.0	v y l i dd 
وه 1.0	v o 
وهاڑی 1.0	v i h A r' i 
وهاں 1.0	v A~ 
وهاں 1.0	v y h A~ 
وهند	1.0	m o h y n dd
وهی 1.0	v U h i 
وهیں 1.0	v y h i~ 
ووکیشنل 1.0	v O k Y S n y l 
وڈیو 1.0	v i d' j o 
وکلا 1.0	v U k l A 
وکیلوں 1.0	v y k i l o~ 
وں	1.0	o~
ویب 1.0	v i b 
ویران 1.0	v i r A n 
ویز 1.0	v e z 
ویسا 1.0	v Y s A 
ویسٹ 1.0	v e s t' 
ویسے 1.0	v Y s e 
ویڈیو 1.0	v i d' i o 
ویژن 1.0	v i Z y n 
وے 1.0	v e 
ٹ	1.0	t'
ٹاءم 1.0	t' A i m 
ٹاءمز 1.0	t' A i m z 
ٹارزن 1.0	t' A r z y n 
ٹارچر 1.0	t' A r tS y r 
ٹامک 1.0	t' A m y k 
ٹانگیں 1.0	t' A N g e~ 
ٹرانسپورٹ 1.0	t' y r A n s p o r t' 
ٹرک 1.0	t' y r y k 
ٹریفک 1.0	t' y r Y f i k 
ٹرین 1.0	t' y r Y n 
ٹریننگ 1.0	t' i r e n i N 
ٹهوهر	1.0	t' y h o h y r
ٹو 1.0	t' u 
ٹوءیاں 1.0	t' o i j A~ 
ٹول 1.0	t' u l 
ٹولیاں 1.0	t' o l i j A~ 
ٹوٹ 1.0	t' u t' 
ٹوٹا 1.0	t' u t' A 
ٹویٹ	1.0	t' v Y t'
ٹپا 1.0	t' y p p A 
ٹھوک 1.0	t'h o k 
ٹھکانه 1.0	t'h i k A n A 
ٹھیس 1.0	t'h e s 
ٹھیک 1.0	t'h i k 
ٹی 1.0	t' i 
ٹیبل 1.0	t' e b y l 
ٹیررازم 1.0	t' Y r y r i z m 
ٹیسٹ 1.0	t' e s t' 
ٹیلنٹ 1.0	t' Y l y n t' 
ٹیلی 1.0	t' Y l i 
ٹیم 1.0	t' i m 
ٹیموں 1.0	t' i m o~ 
ٹینس 1.0	t' e n i s 
ٹیوٹ	1.0	t' i o t'
ٹیوٹا 1.0	t' Y o t' A 
ٹیپیکل	1.0	t' Y p Y k y l
ٹیک 1.0	t' i k 
ٹیکجوس	1.0	t' Y k y dZ u s
ٹیکسی 1.0	t' Y k s i 
ٹیکنالوجی 1.0	t' e k n A l O dZ i 
ٹیکنیکل 1.0	t' Y k n i k y l 
پا 1.0	p A 
پاءوں 1.0	p A o~ 
پاءیں 1.0	p A e~ 
پاءیں 1.0	p A i~ 
پاءے 1.0	p A e 
پابندی 1.0	p A b y n dd i 
پاتا 1.0	p A td A 
پاتھ 1.0	p A tdh 
پار 1.0	p A r 
پارٹنر 1.0	p A r t' n y r 
پارٹی 1.0	p A r t' i 
پارٹیز 1.0	p A r t' i z 
پارک 1.0	p A r k 
پارکس 1.0	p A r k s 
پاس 1.0	p A s 
پاشی 1.0	p A S i 
پالیسی 1.0	p A l i s i 
پالیسیوں 1.0	p A l i s i o~ 
پانچ 1.0	p A n tS 
پانچویں 1.0	p A n tS v i~ 
پانی 1.0	p A n i 
پانے 1.0	p A n e 
پاک 1.0	p A k 
پاکستان 1.0	p A k i s td A n 
پاکستانی 1.0	p A k i s td A n i 
پایا 1.0	p A j A 
پبلک 1.0	p y b l i k 
پبلکن 1.0	p y b l i k y n 
پته 1.0	p y td A 
پتھر 1.0	p y tdh tdh y r 
پتھروں 1.0	p y td tdh y r o~ 
پتے 1.0	p y td td e 
